COUNTRY;COUNTRY CODE;STATE;STATE CODE;COUNTY;COUNTY CODE;LOCALITY ID;LOCALITY TYPE;LATITUDE;LONGITUDE
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7152517 ;P;30.2;-9.5
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7152531 ;P;30.1;-9.6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7153816 ;P;30;-9.7
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7154238 ;P;31.1;-4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7155234 ;P;30.4;-9.6
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7155486 ;P;35.6;-5.3
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7156270 ;P;33.8;-5.5
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7158850 ;P;35.5;-5.3
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7159709 ;P;30.4;-9.5
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7159944 ;P;35.6;-5.4
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7161220 ;P;31.2;-7.9
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7161345 ;P;31.3;-8
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7164077 ;P;35.5;-5.1
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7164692 ;P;31.3;-4.2
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7166080 ;P;31.7;-4.2
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7166176 ;P;31.5;-4.5
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7166486 ;P;32.2;-8
Morocco;MA;Chaouia-Ouardigha       ;MA-09;;;L7166535 ;P;33.3;-7.5
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7168311 ;P;35.5;-5.4
Morocco;MA;Chaouia-Ouardigha       ;MA-09;;;L7168456 ;P;33.8;-7.2
Morocco;MA;Grand Casablanca        ;MA-08;;;L7168462 ;P;33.6;-7.6
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7169140 ;P;31.6;-8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7169154 ;P;31;-6.6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7169159 ;P;30.9;-7
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7169189 ;P;31.4;-7.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7169193 ;P;31.4;-7.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7169206 ;P;31.3;-7.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7169211 ;P;31.3;-7.8
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7169219 ;P;31.5;-4.5
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7169271 ;P;31.5;-7.5
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7169277 ;P;31.2;-7.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7169306 ;P;31;-7.1
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7170842 ;P;31.3;-7.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7170991 ;P;30.9;-6.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7171013 ;P;31.2;-6.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7171046 ;P;31.4;-6
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7171080 ;P;31.7;-5
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7172549 ;P;35.9;-6
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7172608 ;P;31.6;-8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7172613 ;P;31.5;-7.9
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7172622 ;P;31.2;-7.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7172629 ;P;31.2;-7.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7172650 ;P;31.2;-7.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7172657 ;P;31.4;-7.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7172688 ;P;31.1;-7.3
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7172755 ;P;31.3;-4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7172760 ;P;31.3;-4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7175293 ;P;31.5;-4.4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7175425 ;P;30.7;-7.3
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7175721 ;P;31.2;-3.9
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7175731 ;P;31.2;-3.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7177504 ;P;30;-9.6
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7179278 ;P;33.5;-5.1
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7179307 ;P;30.6;-8.1
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7179311 ;P;30.9;-7.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7179317 ;P;31.5;-5.5
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7179331 ;P;33.4;-5.2
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7179388 ;P;31.7;-4.2
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7184237 ;P;31.6;-8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7184528 ;P;30.3;-5.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7184648 ;P;30.8;-6.9
Morocco;MA;Gharb-Chrarda-Beni Hssen;MA-02;;;L7186092 ;P;34.9;-6.3
Morocco;MA;Gharb-Chrarda-Beni Hssen;MA-02;;;L7186175 ;P;34.8;-6.3
Morocco;MA;Gharb-Chrarda-Beni Hssen;MA-02;;;L7186181 ;P;34.3;-6.7
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7186277 ;P;32;-8.2
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7186310 ;P;31.2;-7.9
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7186330 ;P;31.3;-7.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7186334 ;P;30.9;-8.4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7186341 ;P;30.9;-8.4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7186344 ;P;30.6;-8.4
