TAXONOMIC ORDER;CATEGORY;TAXON CONCEPT ID;COMMON NAME;SCIENTIFIC NAME;SUBSPECIES COMMON NAME;SUBSPECIES SCIENTIFIC NAME
6805;species;avibase-E9DF118E;White-faced Storm-Petrel  ;Pelagodroma marina         ;                                ;                                  
31604;issf;avibase-EAF23C54;Crimson-winged Finch      ;Rhodopechys sanguineus     ;Crimson-winged Finch (African)  ;Rhodopechys sanguineus alienus    
22216;species;avibase-ED2AC04E;Eurasian Skylark          ;Alauda arvensis            ;                                ;                                  
464;species;avibase-ED4CE8E7;Northern Shoveler         ;Spatula clypeata           ;                                ;                                  
7608;species;avibase-ED5A7E8F;European Honey-buzzard    ;Pernis apivorus            ;                                ;                                  
5712;species;avibase-ED663165;Eurasian Oystercatcher    ;Haematopus ostralegus      ;                                ;                                  
5840;species;avibase-EDA37B7C;Common Ringed Plover      ;Charadrius hiaticula       ;                                ;                                  
28196;species;avibase-EE8206E7;Spotted Flycatcher        ;Muscicapa striata          ;                                ;                                  
11605;spuh;avibase-EF4617E8;woodpecker sp.            ;Picidae sp.                ;                                ;                                  
6863;spuh;avibase-EFEB41C1;storm-petrel sp. (white-ru;Oceanitidae/Hydrobatidae sp;                                ;                                  
21131;spuh;avibase-F00CC288;crow/raven sp.            ;Corvus sp.                 ;                                ;                                  
5749;species;avibase-F029489A;Northern Lapwing          ;Vanellus vanellus          ;                                ;                                  
6624;issf;avibase-F0DF132B;Common Tern               ;Sterna hirundo             ;Common Tern (hirundo/tibetana)  ;Sterna hirundo hirundo/tibetana   
23007;issf;avibase-F10D566F;Zitting Cisticola         ;Cisticola juncidis         ;Zitting Cisticola (Western)     ;Cisticola juncidis [juncidis Group
21115;species;avibase-F2024545;Brown-necked Raven        ;Corvus ruficollis          ;                                ;                                  
7340;species;avibase-F2858F9F;Little Egret              ;Egretta garzetta           ;                                ;                                  
5824;issf;avibase-F3AB8E78;Kentish Plover            ;Charadrius alexandrinus    ;Kentish Plover (Kentish)        ;Charadrius alexandrinus alexandrin
11731;species;avibase-F3DA111C;Merlin                    ;Falco columbarius          ;                                ;                                  
24559;species;avibase-F3E9CE95;Cetti's Warbler           ;Cettia cetti               ;                                ;                                  
9313;issf;avibase-F4D0DB8E;Eurasian Hoopoe           ;Upupa epops                ;Eurasian Hoopoe (Eurasian)      ;Upupa epops [epops Group]         
6420;issf;avibase-F4D98B48;Common Gull               ;Larus canus                ;Common Gull (European)          ;Larus canus canus                 
7872;species;avibase-F558C7F9;Hen Harrier               ;Circus cyaneus             ;                                ;                                  
444;species;avibase-F577BA0F;Garganey                  ;Spatula querquedula        ;                                ;                                  
23657;species;avibase-F72A871F;Red-rumped Swallow        ;Cecropis daurica           ;                                ;                                  
6660;species;avibase-F7504353;Sandwich Tern             ;Thalasseus sandvicensis    ;                                ;                                  
6411;species;avibase-F7B9355E;Audouin's Gull            ;Ichthyaetus audouinii      ;                                ;                                  
4143;spuh;avibase-F7D77F4A;swift sp.                 ;Apodidae sp.               ;                                ;                                  
1934;spuh;avibase-F837F893;Columba sp.               ;Columba sp.                ;                                ;                                  
30983;species;avibase-F8748F12;Rock Sparrow              ;Petronia petronia          ;                                ;                                  
6392;species;avibase-F89FD6E3;Little Gull               ;Hydrocoloeus minutus       ;                                ;                                  
31085;spuh;avibase-F8FCE84A;wagtail sp.               ;Motacilla sp.              ;                                ;                                  
5931;species;avibase-F9305BAA;Whimbrel                  ;Numenius phaeopus          ;                                ;                                  
23611;issf;avibase-F93910B4;Barn Swallow              ;Hirundo rustica            ;Barn Swallow (White-bellied)    ;Hirundo rustica rustica           
24317;species;avibase-F9F4B04D;Common Chiffchaff         ;Phylloscopus collybita     ;                                ;                                  
4024;species;avibase-FA1CAD29;Alpine Swift              ;Apus melba                 ;                                ;                                  
9312;species;avibase-FA2F9125;Eurasian Hoopoe           ;Upupa epops                ;                                ;                                  
4099;species;avibase-FA9F6019;White-rumped Swift        ;Apus caffer                ;                                ;                                  
6386;species;avibase-FB02DD96;Black-headed Gull         ;Chroicocephalus ridibundus ;                                ;                                  
6355;species;avibase-FB4D08F0;Black-legged Kittiwake    ;Rissa tridactyla           ;                                ;                                  
6460;species;avibase-FB4FCB27;Iceland Gull              ;Larus glaucoides           ;                                ;                                  
22065;species;avibase-FC0A1D95;Horned Lark               ;Eremophila alpestris       ;                                ;                                  
8964;species;avibase-FC4D40D2;Long-eared Owl            ;Asio otus                  ;                                ;                                  
22267;issf;avibase-FC79EB47;Crested Lark              ;Galerida cristata          ;Crested Lark (Crested)          ;Galerida cristata [cristata Group]
24517;species;avibase-FCF07F05;Scrub Warbler             ;Scotocerca inquieta        ;                                ;                                  
6994;species;avibase-FD97EC1E;Yelkouan Shearwater       ;Puffinus yelkouan          ;                                ;                                  
11886;species;avibase-FDAEA60A;Cockatiel                 ;Nymphicus hollandicus      ;                                ;                                  
7324;issf;avibase-FDCCFEC1;Great Egret               ;Ardea alba                 ;Great Egret (Eurasian)          ;Ardea alba alba                   
27072;species;avibase-FDECE3B9;White-throated Dipper     ;Cinclus cinclus            ;                                ;                                  
22175;species;avibase-FE1FE185;Mediterranean Short-toed L;Alaudala rufescens         ;                                ;                                  
7566;issf;avibase-FE572264;Osprey                    ;Pandion haliaetus          ;Osprey (haliaetus)              ;Pandion haliaetus haliaetus       
6281;slash;avibase-FED0179E;Parasitic/Long-tailed Jaeg;Stercorarius parasiticus/lo;                                ;                                  
23137;species;avibase-FED5AED5;Sedge Warbler             ;Acrocephalus schoenobaenus ;                                ;                                  
8336;species;avibase-FEE35F4C;Barn Owl                  ;Tyto alba                  ;                                ;                                  
6973;species;avibase-FF3D837A;Cory's Shearwater         ;Calonectris diomedea       ;                                ;                                  
292;issf;avibase-FF504551;Brant                     ;Branta bernicla            ;Brant (Dark-bellied)            ;Branta bernicla bernicla          
